"'LOWER SECTION","'","'","'","'","'","'","'",
"'3 of a Kind","'Add total of all dice","'28","'26","'29","'0","'24","'22",
"'4 of a Kind","'Add total of all dice","'0","'18","'29","'24","'o","'28",
"'Full House","'SCORE 25","'25","'","'25","'#25","'25","'25",
"'SM Straight Sequence of 4","'SCORE 30","'30","'30","'30","'30","'30","'30",
"'LG Straight Sequence of 5","'SCORE 40","'40","'40","'40","'40","'0","'40",
"'YAHTZEE 5 of a Kind","'SCORE 50","'0","'","'0","'","'0","'50",
"'Chance","'Score total of all dice","'24","'19","'24","'18","'20","'20",
"'YAHTZEE","'X FOR EACH BONUS","'","'","'","'","'","'x X",
"'BONUS","'SCORE 100 PER X","'","'","'","'","'","'",
"'TOTAL Of Lower Section","'","'147","'133","'177","'137","'99","'",
"'TOTAL Of Upper Section","'","'59","'107","'55","'98","'58","'315 54",
"'GRAND TOTAL","'I","'206","'240","'232","'245","'","'",
"'","'","'","'","'","'","'157","'369",
,,,,,,,

'Confidence Scores % (Table Cell)
""'40.86914063","'85.10742188","'85.10742188","'85.10742188","'86.86523438","'86.86523438","'86.62109375","'86.62109375",
"'39.33105469","'88.42773438","'84.37500000","'88.13476563","'88.67187500","'89.84375000","'87.79296875","'88.62304688",
"'39.72167969","'89.25781250","'85.15625000","'88.96484375","'89.50195313","'90.67382813","'88.62304688","'89.45312500",
"'39.08691406","'87.89062500","'83.83789063","'87.54882813","'88.08593750","'89.30664063","'87.25585938","'88.03710938",
"'38.35449219","'86.23046875","'82.27539063","'85.88867188","'86.42578125","'87.59765625","'85.59570313","'86.37695313",
"'38.74511719","'87.10937500","'83.10546875","'86.76757813","'87.30468750","'88.47656250","'86.47460938","'87.25585938",
"'38.76953125","'87.15820313","'83.15429688","'86.81640625","'87.35351563","'88.52539063","'86.52343750","'87.30468750",
"'37.96386719","'85.35156250","'81.44531250","'85.00976563","'85.54687500","'86.71875000","'84.71679688","'85.49804688",
"'92.43164063","'79.49218750","'75.87890625","'79.19921875","'79.68750000","'80.76171875","'78.90625000","'79.68750000",
"'92.43164063","'65.23437500","'62.25585938","'65.03906250","'65.42968750","'66.30859375","'64.79492188","'65.38085938",
"'38.15917969","'85.79101563","'81.88476563","'85.49804688","'86.03515625","'87.15820313","'85.15625000","'85.98632813",
"'38.18359375","'85.83984375","'81.88476563","'85.54687500","'86.08398438","'87.20703125","'85.20507813","'86.03515625",
"'34.44824219","'77.44140625","'73.87695313","'77.14843750","'77.63671875","'78.66210938","'76.85546875","'77.58789063",
"'44.65332031","'44.65332031","'44.65332031","'44.65332031","'60.59570313","'61.42578125","'60.00976563","'60.54687500",
