"'Aces = 1","'Count and add only Aces","'I","'I","'L","'1","'4","'I",
"'Twos = 2","'Count and add only Twos","'6","'2","'8","'8","'8","'4",
"'Threes = 3","'Count and add only Threes","'9","'6","'6","'12","'9","'9",
"'Fours = 4","'Count and add only Fours","'16","'4","'16","'4","'8","'16",
"'Fives = 5","'Count and add only Fives","'15","'IS","'15","'20","'20","'IS",
"'Sixes = 6","'Count and add only Sixes","'18","'24","'18","'18","'18","'6",
"'TOTAL","'","'65","'52","'64","'63","'67","'51",
"'BONUS If total score is 63 or over","'SCORE 35","'35","'","'35","'35","'35","'0",
"'TOTAL Of Upper Section","'","'100","'52","'99","'98","'102","'51",
"'LOWER SECTION","'","'","'","'","'","'","'",
"'3 of a Kind","'Add total of all dice","'26","'27","'22","'27","'19","'20",
"'4 of a Kind","'Add total of all dice","'0","'28","'0","'22","'0","'0",
"'Full House","'SCORE 25","'25","'0","'25","'25","'25","'25",
"'SM Straight Sequence of 4","'SCORE 30","'30","'30","'30","'30","'30","'30",
"'LG Straight Sequence of 5","'SCORE 40","'40","'40","'40","'40","'40","'40",
"'YAHTZEE 5 of a Kind","'SCORE 50","'","'0","'50","'#0","'50","'O",
"'Chance","'Score total of all dice","'20","'16","'22","'25","'23","'23",
"'YAHTZEE","'X FOR EACH BONUS","'","'","'","'","'x","'",
"'BONUS","'SCORE 100 PER X","'","'","'","'","'","'",
"'TOTAL Of Lower Section","'","'141","'141","'189","'169","'237","'138",
"'TOTAL Of Upper Section","'","'100","'52","'99","'98","'102","'51",
"'GRAND TOTAL","'","'241","'193","'288","'261","'339","'189",
"'© 1982, 2014","'","'","'","'","'","'","'",
,,,,,,,

'Confidence Scores % (Table Cell)
""'50.24414063","'94.28710938","'91.35742188","'90.67382813","'91.74804688","'91.79687500","'90.18554688","'91.40625000",
"'49.48730469","'92.87109375","'89.94140625","'89.30664063","'90.38085938","'90.42968750","'88.81835938","'90.03906250",
"'49.51171875","'92.91992188","'89.99023438","'89.35546875","'90.42968750","'90.47851563","'88.86718750","'90.08789063",
"'48.87695313","'91.69921875","'88.86718750","'88.23242188","'89.25781250","'89.30664063","'87.74414063","'88.96484375",
"'48.99902344","'91.94335938","'89.06250000","'88.42773438","'89.50195313","'89.55078125","'87.98828125","'89.16015625",
"'49.31640625","'92.52929688","'89.64843750","'88.96484375","'90.03906250","'90.08789063","'88.52539063","'89.74609375",
"'48.73046875","'91.40625000","'88.57421875","'87.93945313","'89.01367188","'89.06250000","'87.45117188","'88.67187500",
"'48.65722656","'91.30859375","'88.42773438","'87.79296875","'88.86718750","'88.91601563","'87.35351563","'88.52539063",
"'50.24414063","'94.33593750","'91.35742188","'90.72265625","'91.79687500","'91.84570313","'90.23437500","'91.45507813",
"'49.70703125","'65.91796875","'65.91796875","'65.91796875","'64.16015625","'64.16015625","'70.26367188","'70.26367188",
"'47.53417969","'89.20898438","'86.42578125","'85.79101563","'86.81640625","'86.86523438","'85.35156250","'86.52343750",
"'47.65625000","'89.45312500","'86.66992188","'86.03515625","'87.06054688","'87.10937500","'85.54687500","'86.71875000",
"'47.90039063","'89.84375000","'87.06054688","'86.42578125","'87.45117188","'87.50000000","'85.98632813","'87.15820313",
"'46.77734375","'87.79296875","'85.05859375","'84.42382813","'85.44921875","'85.49804688","'83.98437500","'85.10742188",
"'45.33691406","'85.05859375","'82.42187500","'81.83593750","'82.81250000","'82.86132813","'81.39648438","'82.51953125",
"'45.04394531","'84.52148438","'81.88476563","'81.29882813","'82.27539063","'82.27539063","'80.85937500","'81.93359375",
"'43.94531250","'82.47070313","'79.88281250","'79.29687500","'80.27343750","'80.32226563","'78.90625000","'79.98046875",
"'87.89062500","'76.02539063","'73.63281250","'73.09570313","'73.97460938","'74.02343750","'72.75390625","'73.73046875",
"'87.89062500","'55.51757813","'53.80859375","'53.41796875","'54.05273438","'54.10156250","'53.12500000","'53.85742188",
"'44.89746094","'84.27734375","'81.64062500","'81.05468750","'82.03125000","'82.08007813","'80.61523438","'81.73828125",
"'41.84570313","'78.51562500","'76.07421875","'75.53710938","'76.41601563","'76.46484375","'75.14648438","'76.17187500",
"'45.82519531","'85.98632813","'83.30078125","'82.66601563","'83.69140625","'83.74023438","'82.27539063","'83.39843750",
"'44.55566406","'44.55566406","'44.55566406","'44.55566406","'59.08203125","'59.13085938","'58.05664063","'58.88671875",
