"'","'Aces = 1","'Count and add only Aces","'13","'2","'","'0","'","'I",
"'","'Twos = 2","'Count and add only Twos","'4","'4","'6","'4","'4","'4",
"'","'Threes = 3","'Count and add only Threes","'6","'6","'9","'9","'9","'9",
"'","'Fours : = 4","'Count and add only Fours","'12","'16","'16","'8","'16","'12",
"'","'Fives :- = 5","'Count and add only Fives","'15","'20","'15","'15","'20","'15",
"'","'Sixes = 6","'Count and add only Sixes","'24","'18","'18","'24","'24","'24",
"'","'TOTAL","'","'64","'66","'65","'60","'73","'65",
"'","'BONUS If total score is 63 or over","'SCORE 35","'35","'35","'35","'0","'35","'35",
"'","'TOTAL Of Upper Section","'","'99","'101","'100","'60 Y","'108","'Alis",
"'","'","'","'","'","'","'","'","'",
,,,,,,,,

'Confidence Scores % (Table Cell)
""'44.55566406","'56.59179688","'93.26171875","'90.72265625","'92.82226563","'93.31054688","'92.38281250","'92.96875000","'93.55468750",
"'44.55566406","'55.66406250","'91.69921875","'89.16015625","'91.21093750","'91.74804688","'90.82031250","'91.35742188","'91.94335938",
"'44.55566406","'55.37109375","'91.21093750","'88.72070313","'90.77148438","'91.25976563","'90.33203125","'90.86914063","'91.50390625",
"'44.55566406","'55.22460938","'91.01562500","'88.52539063","'90.57617188","'91.06445313","'90.13671875","'90.72265625","'91.30859375",
"'44.55566406","'55.32226563","'91.16210938","'88.67187500","'90.72265625","'91.21093750","'90.28320313","'90.82031250","'91.45507813",
"'44.55566406","'55.22460938","'91.01562500","'88.52539063","'90.57617188","'91.06445313","'90.13671875","'90.72265625","'91.30859375",
"'44.55566406","'55.02929688","'90.62500000","'88.18359375","'90.18554688","'90.67382813","'89.79492188","'90.33203125","'90.91796875",
"'44.55566406","'54.83398438","'90.38085938","'87.89062500","'89.89257813","'90.42968750","'89.50195313","'90.03906250","'90.62500000",
"'44.55566406","'55.85937500","'92.04101563","'89.55078125","'91.60156250","'92.08984375","'91.16210938","'91.74804688","'92.33398438",
"'42.87109375","'48.73046875","'51.56250000","'51.56250000","'51.56250000","'51.66015625","'51.66015625","'80.02929688","'80.51757813",
