"'LOWER SECTION","'","'","'","'","'","'","'","'",
"'3 of a Kind","'Add total of all dice","'27","'25","'","'1216","'23","'21","'",
"'4 of a Kind","'Add total of all dice","'16","'","'26","'0","'0","'21","'",
"'Full House","'SCORE 25","'25","'25","'25","'25","'25","'25","'",
"'SM Straight Sequence of 4","'SCORE 30","'30","'30","'30","'30","'30","'30","'",
"'LG Straight Sequence of 5","'SCORE 40","'40","'40","'0","'40","'40","'40","'",
"'YAHTZEE 5 of a Kind","'SCORE 50","'50","'0","'50","'0","'0","'50","'",
"'Chance","'Score total of all dice","'20","'19","'22","'22","'20","'20","'",
"'YAHTZEE","'X FOR EACH BONUS","'","'","'","'","'","'","'",
"'BONUS","'SCORE 100 PER X","'","'","'","'","'","'","'",
"'TOTAL Of Lower Section","'","'208","'139","'103","'III 133","'138","'207","'",
"'TOTAL Of Upper Section","'","'113","'99","'1004","'47","'107","'103","'",
"'GRAND TOTAL","'","'321","'238","'203","'180","'245","'310","'",
,,,,,,,,

'Confidence Scores % (Table Cell)
""'45.53222656","'56.39648438","'56.39648438","'56.39648438","'36.84082031","'36.84082031","'38.15917969","'38.15917969","'38.15917969",
"'45.31250000","'90.77148438","'88.57421875","'89.84375000","'89.84375000","'90.03906250","'88.96484375","'88.72070313","'45.60546875",
"'45.89843750","'91.94335938","'89.74609375","'91.01562500","'91.01562500","'91.21093750","'90.08789063","'89.89257813","'46.19140625",
"'45.82519531","'91.74804688","'89.55078125","'90.82031250","'90.82031250","'91.01562500","'89.89257813","'89.69726563","'46.09375000",
"'45.55664063","'91.25976563","'89.06250000","'90.33203125","'90.33203125","'90.52734375","'89.40429688","'89.16015625","'45.82519531",
"'44.92187500","'89.99023438","'87.79296875","'89.06250000","'89.06250000","'89.25781250","'88.13476563","'87.93945313","'45.19042969",
"'44.60449219","'89.35546875","'87.20703125","'88.47656250","'88.47656250","'88.62304688","'87.54882813","'87.30468750","'44.87304688",
"'45.04394531","'90.18554688","'88.03710938","'89.30664063","'89.30664063","'89.50195313","'88.37890625","'88.18359375","'45.31250000",
"'89.25781250","'90.52734375","'88.33007813","'89.64843750","'89.64843750","'89.79492188","'88.72070313","'88.47656250","'45.48339844",
"'89.25781250","'85.93750000","'83.88671875","'85.10742188","'85.10742188","'85.25390625","'84.22851563","'83.98437500","'43.16406250",
"'44.70214844","'89.55078125","'87.35351563","'88.62304688","'88.62304688","'88.81835938","'87.74414063","'87.50000000","'44.97070313",
"'44.60449219","'89.35546875","'87.20703125","'88.47656250","'88.47656250","'88.62304688","'87.54882813","'87.30468750","'44.87304688",
"'46.33789063","'92.82226563","'90.57617188","'91.89453125","'91.89453125","'92.04101563","'90.91796875","'90.72265625","'46.60644531",
