"'LOWER SECTION","'","'","'","'","'","'","'",
"'3 of a Kind","'Add total of all dice","'26","'23","'27","'20","'22","'21",
"'4 of a Kind","'Add total of all dice","'0","'0","'18","'18","'23","'0",
"'Full House","'SCORE 25","'25","'25","'25","'25","'25","'25",
"'SM Straight Sequence of 4","'SCORE 30","'30","'30","'30","'30","'30","'30",
"'LG Straight Sequence of 5","'SCORE 40","'40","'0","'40","'0","'40","'40",
"'YAHTZEE 5 of a Kind","'SCORE 50","'0","'0","'0","'x","'","'0",
"'Chance","'Score total of all dice","'26","'232","'22","'23","'20","'23",
"'YAHTZEE","'X FOR EACH BONUS","'","'","'","'","'","'",
"'BONUS","'SCORE 100 PER X","'","'","'","'","'","'",
"'TOTAL Of Lower Section","'","'147","'98","'162","'116","'160","'139",
"'TOTAL Of Upper Section","'","'50","'101","'104","'56","'61","'62",
"'GRAND TOTAL","'","'197","'199","'266","'172","'221","'201",
,,,,,,,

'Confidence Scores % (Table Cell)
""'72.46093750","'56.68945313","'56.68945313","'56.68945313","'59.71679688","'59.71679688","'71.53320313","'71.53320313",
"'72.55859375","'92.08984375","'89.25781250","'90.23437500","'91.60156250","'91.55273438","'89.99023438","'89.50195313",
"'72.60742188","'92.13867188","'89.30664063","'90.28320313","'91.65039063","'91.60156250","'90.03906250","'89.55078125",
"'72.99804688","'92.62695313","'89.79492188","'90.77148438","'92.08984375","'92.04101563","'90.52734375","'89.99023438",
"'72.02148438","'91.35742188","'88.57421875","'89.55078125","'90.86914063","'90.82031250","'89.30664063","'88.81835938",
"'71.38671875","'90.57617188","'87.79296875","'88.76953125","'90.08789063","'90.03906250","'88.52539063","'88.03710938",
"'72.16796875","'91.55273438","'88.76953125","'89.74609375","'91.06445313","'91.01562500","'89.50195313","'89.01367188",
"'71.33789063","'90.52734375","'87.74414063","'88.72070313","'90.03906250","'89.99023438","'88.47656250","'87.98828125",
"'48.82812500","'89.59960938","'86.86523438","'87.84179688","'89.11132813","'89.06250000","'87.59765625","'87.10937500",
"'48.82812500","'85.74218750","'83.10546875","'83.98437500","'85.25390625","'85.20507813","'83.78906250","'83.30078125",
"'71.67968750","'90.96679688","'88.18359375","'89.11132813","'90.42968750","'90.38085938","'88.91601563","'88.37890625",
"'70.45898438","'89.40429688","'86.66992188","'87.59765625","'88.86718750","'88.86718750","'87.35351563","'86.86523438",
"'74.12109375","'94.09179688","'91.21093750","'92.18750000","'93.55468750","'93.50585938","'91.94335938","'91.45507813",
