"'Aces = 1","'Count and add only Aces","'+","'3","'P","'I","'4","'I",
"'NOT_SELECTED Twos = 2","'Count and add only Twos","'6","'6","'0","'2","'4","'4",
"'Threes = 3","'Count and add only Threes","'9","'15","'9","'12","'3","'3",
"'NOT_SELECTED Fours = 4","'Count and add only Fours","'16","'12","'16","'12","'12","'12",
"'Fives = 5","'Count and add only Fives","'IS","'IS","'10","'IS","'IS","'0",
"'Sixes =6","'Count and add only Sixes","'18","'6","'18","'24","'18","'30",
"'TOTAL","'","'65","'57","'54","'66","'56","'50",
"'If total score BONUS is 63 or over","'SCORE 35","'35","'","'0","'35","'0","'D",
"'TOTAL Of Upper Section","'","'100","'57","'54","'101","'56","'50",
,,,,,,,

'Confidence Scores % (Table Cell)
""'64.74609375","'93.45703125","'91.60156250","'93.55468750","'93.26171875","'92.87109375","'92.33398438","'91.45507813",
"'63.28125000","'91.35742188","'89.55078125","'91.45507813","'91.16210938","'90.82031250","'90.23437500","'89.40429688",
"'63.23242188","'91.25976563","'89.45312500","'91.35742188","'91.06445313","'90.72265625","'90.13671875","'89.30664063",
"'63.13476563","'91.11328125","'89.30664063","'91.21093750","'90.91796875","'90.57617188","'89.99023438","'89.16015625",
"'63.13476563","'91.11328125","'89.30664063","'91.21093750","'90.91796875","'90.57617188","'89.99023438","'89.16015625",
"'62.69531250","'90.47851563","'88.67187500","'90.57617188","'90.28320313","'89.89257813","'89.35546875","'88.52539063",
"'63.37890625","'91.50390625","'89.69726563","'91.60156250","'91.30859375","'90.91796875","'90.38085938","'89.55078125",
"'62.84179688","'90.72265625","'88.91601563","'90.77148438","'90.52734375","'90.13671875","'89.59960938","'88.76953125",
"'64.35546875","'92.87109375","'91.01562500","'92.96875000","'92.67578125","'92.28515625","'91.69921875","'90.86914063",
