"'Aces = 1","'Count and add only Aces","'B","'I","'I","'2","'I","'3",
"'Twos = 2","'Count and add only Twos","'4","'4","'4","'4","'8","'8",
"'Threes = 3","'Count and add only Threes","'12","'9","'9","'9","'12","'9",
"'NOT_SELECTED Fours = 4","'Count and add only Fours","'16","'12","'16","'12","'16","'12",
"'Fives = 5","'Count and add only Fives","'IS","'IS","'IS","'20","'IS","'20",
"'Sixes = 6","'Count and add only Sixes","'24","'24","'18","'18","'12","'18",
"'TOTAL","'","'71","'65","'63","'64","'64","'70",
"'If total score BONUS is 63 or over","'SCORE 35","'35","'35","'35","'35","'35","'35",
"'TOTAL Of Upper Section","'","'106","'100","'98","'M","'99","'105",
,,,,,,,

'Confidence Scores % (Table Cell)
""'50.78125000","'94.04296875","'91.65039063","'92.33398438","'92.91992188","'92.87109375","'92.62695313","'92.33398438",
"'49.14550781","'91.01562500","'88.72070313","'89.35546875","'89.89257813","'89.84375000","'89.64843750","'89.35546875",
"'49.24316406","'91.21093750","'88.91601563","'89.55078125","'90.08789063","'90.03906250","'89.84375000","'89.55078125",
"'49.46289063","'91.65039063","'89.30664063","'89.94140625","'90.52734375","'90.47851563","'90.23437500","'89.94140625",
"'49.36523438","'91.45507813","'89.11132813","'89.79492188","'90.33203125","'90.28320313","'90.03906250","'89.79492188",
"'49.82910156","'92.28515625","'89.94140625","'90.62500000","'91.16210938","'91.11328125","'90.86914063","'90.62500000",
"'49.51171875","'91.69921875","'89.40429688","'90.03906250","'90.62500000","'90.57617188","'90.33203125","'90.03906250",
"'48.92578125","'90.62500000","'88.33007813","'88.96484375","'89.55078125","'89.50195313","'89.25781250","'88.96484375",
"'51.07421875","'94.58007813","'92.23632813","'92.87109375","'93.45703125","'93.40820313","'93.16406250","'92.87109375",
