"'LOWER SECTION","'","'","'","'","'","'","'",
"'3 of a Kind","'Add total of all dice","'28","'27","'27","'18","'20","'0",
"'4 of a Kind","'Add total of all dice","'0","'0","'0","'25","'","'21",
"'Full House","'SCORE 25","'25","'25","'00","'25","'25","'25",
"'SM Straight Sequence of 4","'SCORE 30","'30","'30","'30","'30","'30","'30",
"'LG Straight Sequence of 5","'SCORE 40","'40","'40","'","'40","'","'40",
"'YAHTZEE 5 of a Kind","'SCORE 50","'0","'so","'","'0","'0","'",
"'Chance","'Score total of all dice","'28","'25","'24","'19","'25","'22",
"'YAHTZEE","'X FOR EACH BONUS","'","'","'","'","'","'",
"'BONUS","'SCORE 100 PER X","'","'","'","'","'","'",
"'TOTAL Of Lower Section","'","'151","'197","'81","'157","'100","'138",
"'TOTAL Of Upper Section","'","'99","'103","'99","'102","'101","'44",
"'GRAND TOTAL","'","'250","'300","'I","'259","'201","'182",
,,,,,,,

'Confidence Scores % (Table Cell)
""'63.18359375","'37.30468750","'37.30468750","'37.30468750","'38.96484375","'38.96484375","'33.20312500","'33.20312500",
"'64.59960938","'92.28515625","'90.03906250","'90.91796875","'91.65039063","'91.84570313","'91.21093750","'90.82031250",
"'64.79492188","'92.57812500","'90.33203125","'91.21093750","'91.89453125","'92.08984375","'91.50390625","'91.11328125",
"'63.91601563","'91.30859375","'89.06250000","'89.94140625","'90.67382813","'90.82031250","'90.23437500","'89.89257813",
"'63.91601563","'91.30859375","'89.06250000","'89.94140625","'90.67382813","'90.82031250","'90.23437500","'89.89257813",
"'63.57421875","'90.77148438","'88.57421875","'89.45312500","'90.13671875","'90.33203125","'89.74609375","'89.35546875",
"'63.67187500","'90.91796875","'88.72070313","'89.59960938","'90.28320313","'90.47851563","'89.84375000","'89.50195313",
"'60.64453125","'86.62109375","'84.52148438","'85.35156250","'86.03515625","'86.18164063","'85.64453125","'85.25390625",
"'79.29687500","'89.99023438","'87.79296875","'88.67187500","'89.35546875","'89.50195313","'88.91601563","'88.57421875",
"'79.29687500","'88.86718750","'86.66992188","'87.54882813","'88.23242188","'88.37890625","'87.79296875","'87.45117188",
"'62.50000000","'89.25781250","'87.10937500","'87.98828125","'88.62304688","'88.81835938","'88.23242188","'87.89062500",
"'61.37695313","'87.69531250","'85.54687500","'86.37695313","'87.06054688","'87.20703125","'86.66992188","'86.27929688",
"'64.59960938","'92.28515625","'90.03906250","'90.91796875","'91.65039063","'91.84570313","'91.21093750","'90.82031250",
