"'","'NOT_SELECTED Aces = 1","'Count and add only Aces","'D","'3","'1","'2","'I","'4","'",
"'","'SELECTED Twos = 2","'Count and add only Twos","'8","'4","'6","'u","'2","'8","'",
"'","'SELECTED Threes = 3","'Count and add only Threes","'12","'12","'6","'6","'12","'12","'",
"'","'SELECTED Fours = 4","'Count and add only Fours","'12","'16","'12","'12","'12","'8","'",
"'","'SELECTED Fives : = 5","'Count and add only Fives","'15","'15","'15","'25","'20","'20","'",
"'","'SELECTED Sixes : = 6","'Count and add only Sixes","'24","'18","'18","'18","'24","'18","'",
"'","'TOTAL","'","'71","'68","'58","'69","'71","'70","'",
"'","'If total score BONUS is 63 or over","'SCORE 35","'35","'35","'0","'35","'35","'35","'",
"'","'TOTAL Of Upper Section","'","'106","'103","'58","'104","'106","'105","'",
,,,,,,,,,

'Confidence Scores % (Table Cell)
""'48.82812500","'49.04785156","'91.55273438","'89.89257813","'90.91796875","'90.77148438","'90.67382813","'90.57617188","'90.33203125","'67.18750000",
"'48.82812500","'47.58300781","'88.81835938","'87.20703125","'88.23242188","'88.08593750","'87.93945313","'87.84179688","'87.64648438","'65.18554688",
"'48.82812500","'48.43750000","'90.38085938","'88.81835938","'89.79492188","'89.69726563","'89.55078125","'89.45312500","'89.20898438","'66.35742188",
"'48.82812500","'47.97363281","'89.50195313","'87.93945313","'88.91601563","'88.76953125","'88.67187500","'88.57421875","'88.33007813","'65.72265625",
"'48.82812500","'48.55957031","'90.57617188","'89.01367188","'89.99023438","'89.84375000","'89.74609375","'89.64843750","'89.40429688","'66.50390625",
"'48.82812500","'49.19433594","'91.79687500","'90.18554688","'91.21093750","'91.06445313","'90.91796875","'90.82031250","'90.62500000","'67.38281250",
"'48.82812500","'49.07226563","'91.60156250","'89.94140625","'90.96679688","'90.82031250","'90.72265625","'90.62500000","'90.38085938","'67.23632813",
"'48.82812500","'49.09667969","'91.65039063","'89.99023438","'91.01562500","'90.86914063","'90.77148438","'90.67382813","'90.42968750","'67.28515625",
"'48.82812500","'29.73632813","'55.51757813","'54.54101563","'55.12695313","'55.07812500","'54.98046875","'54.93164063","'54.78515625","'40.74707031",
