"'","'","'","'","'","'","'","'","'",
"'LOWER SECTION","'","'","'","'","'","'","'","'",
"'3 of a Kind","'Add total of all dice","'0","'23","'22","'19","'20","'0","'",
"'4 of a Kind","'Add total of all dice","'0","'25","'24","'25","'28","'0","'",
"'Full House","'SCORE 25","'25","'272","'25","'25","'25","'25","'",
"'SM Straight Sequence of 4","'SCORE 30","'30","'30","'30","'30","'30","'30","'",
"'LG Straight Sequence of 5","'SCORE 40","'40","'40","'A","'40","'0","'40","'",
"'YAHTZEE 5 of a Kind","'SCORE 50","'0","'0","'p","'50","'50","'0","'",
"'Chance","'Score total of all dice","'19","'19","'22","'23","'21","'17","'",
"'YAHTZEE","'X FOR EACH BONUS","'","'","'","'","'","'","'",
"'BONUS","'SCORE 100 PER X","'","'","'","'","'","'","'",
"'TOTAL Of Lower Section","'","'114","'164","'123","'212","'174","'112","'",
"'TOTAL Of Upper Section","'","'98","'102","'99","'98","'99","'102","'",
"'GRAND TOTAL","'","'212","'242","'222","'310","'273","'214","'",
,,,,,,,,

'Confidence Scores % (Table Cell)
""'33.98437500","'55.90820313","'55.90820313","'55.90820313","'55.71289063","'55.71289063","'63.72070313","'63.72070313","'63.72070313",
"'51.36718750","'55.90820313","'55.90820313","'55.90820313","'55.71289063","'55.71289063","'63.72070313","'63.72070313","'63.72070313",
"'69.62890625","'91.40625000","'89.20898438","'89.79492188","'90.77148438","'90.23437500","'89.45312500","'89.99023438","'49.78027344",
"'69.04296875","'90.62500000","'88.47656250","'89.01367188","'90.03906250","'89.50195313","'88.72070313","'89.25781250","'49.36523438",
"'69.58007813","'91.35742188","'89.16015625","'89.74609375","'90.72265625","'90.18554688","'89.40429688","'89.94140625","'49.75585938",
"'69.33593750","'91.01562500","'88.86718750","'89.40429688","'90.42968750","'89.84375000","'89.06250000","'89.64843750","'49.58496094",
"'69.62890625","'91.40625000","'89.20898438","'89.79492188","'90.77148438","'90.23437500","'89.45312500","'89.99023438","'49.78027344",
"'69.33593750","'91.01562500","'88.86718750","'89.40429688","'90.42968750","'89.84375000","'89.06250000","'89.64843750","'49.58496094",
"'68.99414063","'90.57617188","'88.42773438","'88.96484375","'89.99023438","'89.45312500","'88.67187500","'89.20898438","'49.34082031",
"'83.15429688","'89.69726563","'87.54882813","'88.08593750","'89.11132813","'88.57421875","'87.79296875","'89.84375000","'89.84375000",
"'83.15429688","'86.18164063","'84.13085938","'84.66796875","'85.59570313","'85.10742188","'84.37500000","'91.01562500","'91.01562500",
"'69.67773438","'91.50390625","'89.30664063","'89.84375000","'90.86914063","'90.33203125","'89.55078125","'92.18750000","'92.18750000",
"'68.70117188","'90.18554688","'88.08593750","'88.62304688","'89.59960938","'89.06250000","'88.28125000","'91.94335938","'91.94335938",
"'70.89843750","'93.06640625","'90.86914063","'91.45507813","'92.48046875","'91.89453125","'91.11328125","'94.43359375","'94.43359375",
