"'NOT_SELECTED Aces = 1","'Count and add only Aces","'1","'3","'1","'2","'/ 1","'3",
"'NOT_SELECTED Twos = 2","'Count and add only Twos","'6","'8","'2","'6","'2","'8",
"'SELECTED Threes = 3","'Count and add only Threes","'9","'6","'9","'6","'12","'12",
"'NOT_SELECTED Fours 4","'Count and add only Fours","'8","'12","'8","'16","'16","'12",
"'SELECTED Fives = 5","'Count and add only Fives","'15","'20","'20","'15","'IS","'20",
"'SELECTED Sixes =6","'Count and add only Sixes","'24","'18","'24","'18","'18","'12",
"'TOTAL","'","'63","'67","'64","'63","'64","'67",
"'If total score BONUS is 63 or over","'SCORE 35","'35","'35","'35","'35","'35","'35",
"'TOTAL Of Upper Section","'","'98","'102","'99","'98","'99","'102",
,,,,,,,

'Confidence Scores % (Table Cell)
""'46.31347656","'91.99218750","'88.96484375","'90.82031250","'91.45507813","'90.42968750","'90.52734375","'90.82031250",
"'45.43457031","'90.28320313","'87.30468750","'89.06250000","'89.69726563","'88.72070313","'88.81835938","'89.06250000",
"'45.41015625","'90.23437500","'87.25585938","'89.01367188","'89.64843750","'88.67187500","'88.76953125","'89.01367188",
"'45.65429688","'90.67382813","'87.69531250","'89.50195313","'90.13671875","'89.11132813","'89.20898438","'89.50195313",
"'45.80078125","'91.01562500","'88.03710938","'89.84375000","'90.47851563","'89.45312500","'89.55078125","'89.84375000",
"'45.70312500","'90.82031250","'87.84179688","'89.64843750","'90.28320313","'89.25781250","'89.35546875","'89.64843750",
"'45.99609375","'91.40625000","'88.37890625","'90.18554688","'90.82031250","'89.84375000","'89.89257813","'90.18554688",
"'45.80078125","'91.01562500","'88.03710938","'89.84375000","'90.47851563","'89.45312500","'89.55078125","'89.84375000",
"'47.31445313","'93.99414063","'90.91796875","'92.77343750","'93.40820313","'92.38281250","'92.48046875","'92.77343750",
