"'LOWER SECTION","'","'","'","'","'","'","'",
"'3 of a Kind","'Add total of all dice","'24","'0","'22","'26","'x","'24",
"'4 of a Kind","'Add total of all dice","'0","'1229","'on","'18","'27","'&",
"'Full House","'SCORE 25","'25","'25","'25","'25","'25","'6",
"'SM Straight Sequence of 4","'SCORE 30","'30","'30","'30","'0","'30","'30",
"'LG Straight Sequence of 5","'SCORE 40","'40","'40","'40","'&","'40","'40",
"'YAHTZEE 5 of a Kind","'SCORE 50","'so","'Q","'0","'of","'so","'&",
"'Chance","'Score total of all dice","'22","'23","'26","'19","'22","'18",
"'YAHTZEE","'X FOR EACH BONUS","'","'","'","'","'","'",
"'BONUS","'SCORE 100 PER X","'","'","'","'","'","'",
"'TOTAL Of Lower Section","'","'191","'147","'143","'90","'194","'122",
"'TOTAL Of Upper Section","'","'99","'98","'102","'99","'102","'100",
"'GRAND TOTAL","'","'290","'245","'245","'189","'296","'222",
,,,,,,,

'Confidence Scores % (Table Cell)
""'80.41992188","'90.86914063","'88.18359375","'89.06250000","'90.52734375","'89.01367188","'87.15820313","'88.37890625",
"'79.15039063","'89.40429688","'86.76757813","'87.64648438","'89.06250000","'87.54882813","'85.74218750","'86.96289063",
"'79.39453125","'89.69726563","'87.01171875","'87.93945313","'89.35546875","'87.84179688","'86.03515625","'87.25585938",
"'80.66406250","'91.16210938","'88.42773438","'89.35546875","'90.77148438","'89.25781250","'87.40234375","'88.67187500",
"'78.51562500","'88.72070313","'86.08398438","'86.96289063","'88.37890625","'86.86523438","'85.05859375","'86.27929688",
"'78.80859375","'89.06250000","'86.37695313","'87.30468750","'88.67187500","'87.20703125","'85.40039063","'86.62109375",
"'78.80859375","'89.06250000","'86.37695313","'87.30468750","'88.67187500","'87.20703125","'85.40039063","'86.62109375",
"'76.95312500","'86.96289063","'84.37500000","'85.25390625","'86.62109375","'85.15625000","'83.39843750","'84.57031250",
"'89.25781250","'88.13476563","'85.49804688","'86.42578125","'87.79296875","'86.32812500","'84.52148438","'85.74218750",
"'89.25781250","'83.93554688","'81.39648438","'82.27539063","'83.59375000","'82.17773438","'80.46875000","'81.64062500",
"'81.39648438","'91.94335938","'89.20898438","'90.13671875","'91.60156250","'90.03906250","'88.18359375","'89.45312500",
"'80.07812500","'90.52734375","'87.79296875","'88.72070313","'90.13671875","'88.62304688","'86.76757813","'88.03710938",
"'82.17773438","'92.87109375","'90.08789063","'91.01562500","'92.48046875","'90.91796875","'89.06250000","'90.33203125",
