"'","'","'","'","'","'","'","'",
"'LOWER SECTION","'","'","'","'","'","'","'",
"'3 of a Kind","'Add total of all dice","'0","'25","'24","'26","'23","'26",
"'4 of a Kind","'Add total of all dice","'","'28","'12","'0","'0","'",
"'Full House","'SCORE 25","'25","'25","'25","'25","'25","'25",
"'SM Straight Sequence of 4","'SCORE 30","'30","'30","'30","'30","'30","'30",
"'LG Straight Sequence of 5","'SCORE 40","'40","'40","'40","'40","'40","'0",
"'YAHTZEE 5 of a Kind","'SCORE 50","'0","'0","'0","'0","'0","'0",
"'Chance","'Score total of all dice","'25","'15","'27","'23","'25","'21",
"'YAHTZEE","'X FOR EACH BONUS","'","'","'","'","'","'",
"'BONUS","'SCORE 100 PER X","'","'","'","'","'","'",
"'TOTAL Of Lower Section","'","'120","'163","'158","'144","'143","'102",
"'TOTAL Of Upper Section","'","'101","'59","'110","'108","'50","'42",
"'GRAND TOTAL","'","'221","'222","'268","'252","'193","'144",
,,,,,,,

'Confidence Scores % (Table Cell)
""'36.57226563","'56.68945313","'56.68945313","'56.68945313","'65.13671875","'65.13671875","'66.11328125","'66.11328125",
"'44.53125000","'56.68945313","'56.68945313","'56.68945313","'65.13671875","'65.13671875","'66.11328125","'66.11328125",
"'73.14453125","'91.74804688","'89.74609375","'90.38085938","'91.40625000","'91.25976563","'90.28320313","'91.01562500",
"'72.16796875","'90.52734375","'88.52539063","'89.16015625","'90.18554688","'90.03906250","'89.06250000","'89.84375000",
"'72.70507813","'91.16210938","'89.16015625","'89.84375000","'90.82031250","'90.72265625","'89.74609375","'90.47851563",
"'73.14453125","'91.69921875","'89.69726563","'90.33203125","'91.35742188","'91.21093750","'90.23437500","'90.96679688",
"'71.97265625","'90.23437500","'88.28125000","'88.91601563","'89.89257813","'89.79492188","'88.81835938","'89.55078125",
"'71.97265625","'90.23437500","'88.28125000","'88.91601563","'89.89257813","'89.79492188","'88.81835938","'89.55078125",
"'70.45898438","'88.37890625","'86.42578125","'87.06054688","'88.03710938","'87.89062500","'86.96289063","'87.69531250",
"'81.10351563","'88.47656250","'86.57226563","'87.20703125","'88.18359375","'88.03710938","'87.10937500","'87.84179688",
"'81.10351563","'83.69140625","'81.88476563","'82.47070313","'83.39843750","'83.30078125","'82.37304688","'83.05664063",
"'71.63085938","'89.79492188","'87.84179688","'88.47656250","'89.50195313","'89.35546875","'88.37890625","'89.11132813",
"'68.16406250","'85.44921875","'83.59375000","'84.17968750","'85.15625000","'85.00976563","'84.08203125","'84.81445313",
"'73.43750000","'92.08984375","'90.08789063","'90.72265625","'91.79687500","'91.65039063","'90.67382813","'91.40625000",
