"'Aces = 1","'Count and add only Aces","'A","'0","'73","'3","'T","'I",
"'Twos = 2","'Count and add only Twos","'6","'8","'2","'6","'4","'6",
"'Threes = 3","'Count and add only Threes","'12","'9","'12","'9","'9","'9",
"'Fours :: = 4","'Count and add only Fours","'12","'12","'20","'16","'12","'4",
"'Fives : = 5","'Count and add only Fives","'15","'15","'15","'5","'20","'15",
"'Sixes = 6","'Count and add only Sixes","'18","'12","'12","'18","'18","'18",
"'TOTAL","'","'63","'56","'64","'57","'64","'53",
"'BONUS If total score is 63 or over","'SCORE 35","'35","'","'35","'","'35","'0",
"'TOTAL Of Upper Section","'","'98","'56","'99","'57","'99","'53",
,,,,,,,

'Confidence Scores % (Table Cell)
""'51.56250000","'92.57812500","'90.13671875","'92.57812500","'92.04101563","'91.79687500","'91.89453125","'92.77343750",
"'50.83007813","'91.21093750","'88.81835938","'91.21093750","'90.72265625","'90.42968750","'90.57617188","'91.40625000",
"'50.53710938","'90.72265625","'88.28125000","'90.72265625","'90.18554688","'89.89257813","'90.03906250","'90.86914063",
"'50.73242188","'91.01562500","'88.62304688","'91.01562500","'90.52734375","'90.23437500","'90.38085938","'91.21093750",
"'50.53710938","'90.72265625","'88.28125000","'90.72265625","'90.18554688","'89.89257813","'90.03906250","'90.86914063",
"'50.73242188","'91.06445313","'88.67187500","'91.06445313","'90.57617188","'90.28320313","'90.42968750","'91.25976563",
"'50.34179688","'90.33203125","'87.93945313","'90.33203125","'89.79492188","'89.55078125","'89.69726563","'90.52734375",
"'50.39062500","'90.42968750","'88.03710938","'90.42968750","'89.89257813","'89.64843750","'89.79492188","'90.62500000",
"'51.85546875","'93.06640625","'90.62500000","'93.06640625","'92.57812500","'92.28515625","'92.43164063","'93.26171875",
