"'LOWER SECTION","'","'","'","'","'","'","'",
"'3 of a Kind","'Add total of all dice","'25","'24","'27","'0","'24","'19",
"'4 of a Kind","'Add total of all dice","'0","'23","'17","'0","'6","'0",
"'Full House","'SCORE 25","'25","'25","'3 25","'25","'25","'25",
"'SM Straight Sequence of 4","'SCORE 30","'30","'39","'30","'30","'30","'30",
"'LG Straight Sequence of 5","'SCORE 40","'40","'0","'40","'40","'40","'40",
"'YAHTZEE 5 of a Kind","'SCORE 50","'0","'x","'0","'0","'0","'24",
"'Chance","'Score total of all dice","'26","'23","'22","'24","'27","'50",
"'YAHTZEE","'X FOR EACH BONUS","'","'","'","'","'","'",
"'BONUS","'SCORE 100 PER X","'","'","'","'","'","'",
"'TOTAL Of Lower Section","'","'146","'125","'161","'119","'152","'188",
"'TOTAL Of Upper Section","'","'98","'56","'99","'57","'99","'53",
"'GRAND TOTAL","'","'244","'181","'260","'176","'251","'241",
,,,,,,,

'Confidence Scores % (Table Cell)
""'44.62890625","'42.91992188","'42.91992188","'42.91992188","'41.87011719","'41.87011719","'53.12500000","'53.12500000",
"'43.65234375","'91.25976563","'89.69726563","'91.06445313","'91.55273438","'91.94335938","'90.57617188","'90.91796875",
"'43.94531250","'91.89453125","'90.28320313","'91.69921875","'92.13867188","'92.57812500","'91.16210938","'91.55273438",
"'43.31054688","'90.57617188","'89.01367188","'90.38085938","'90.82031250","'91.25976563","'89.89257813","'90.23437500",
"'43.55468750","'91.01562500","'89.45312500","'90.82031250","'91.30859375","'91.69921875","'90.33203125","'90.72265625",
"'43.06640625","'90.03906250","'88.47656250","'89.84375000","'90.33203125","'90.72265625","'89.35546875","'89.74609375",
"'42.70019531","'89.25781250","'87.69531250","'89.06250000","'89.50195313","'89.94140625","'88.57421875","'88.91601563",
"'42.01660156","'87.84179688","'86.32812500","'87.64648438","'88.13476563","'88.52539063","'87.15820313","'87.54882813",
"'90.23437500","'90.38085938","'88.81835938","'90.18554688","'90.62500000","'91.06445313","'89.69726563","'90.03906250",
"'90.23437500","'88.67187500","'87.15820313","'88.52539063","'88.96484375","'89.35546875","'87.98828125","'88.37890625",
"'42.99316406","'89.84375000","'88.28125000","'89.69726563","'90.13671875","'90.52734375","'89.16015625","'89.55078125",
"'42.50488281","'88.86718750","'87.35351563","'88.67187500","'89.16015625","'89.55078125","'88.18359375","'88.57421875",
"'44.43359375","'92.91992188","'91.30859375","'92.72460938","'93.16406250","'93.60351563","'92.18750000","'92.57812500",
