"'LOWER SECTION","'","'","'","'","'","'","'",
"'3 of a Kind","'Add total of all dice","'19","'14","'","'26","'24","'23",
"'4 of a Kind","'Add total of all dice","'","'","'0","'27","'0","'&",
"'Full House","'SCORE 25","'25","'25","'25","'25","'0","'25",
"'SM Straight Sequence of 4","'SCORE 30","'30","'30","'30","'30","'30","'30",
"'LG Straight Sequence of 5","'SCORE 40","'40","'","'40","'40","'0","'40",
"'YAHTZEE 5 of a Kind","'SCORE 50","'04","'0","'0","'50","'","'",
"'Chance","'Score total of all dice","'21","'26","'25","'22","'18","'25",
"'YAHTZEE","'X FOR EACH BONUS","'","'","'","'","'","'",
"'BONUS","'SCORE 100 PER X","'","'","'","'","'","'",
"'TOTAL Of Lower Section","'","'135","'095","'120","'220","'72","'143",
"'TOTAL Of Upper Section","'","'62","'102","'98","'100","'48","'100",
"'GRAND TOTAL","'","'197","'197","'218","'320","'120","'243",
,,,,,,,

'Confidence Scores % (Table Cell)
""'56.20117188","'48.04687500","'48.04687500","'48.04687500","'42.91992188","'42.91992188","'45.70312500","'45.70312500",
"'57.61718750","'92.23632813","'89.20898438","'90.91796875","'90.91796875","'91.55273438","'88.91601563","'89.11132813",
"'58.25195313","'93.21289063","'90.18554688","'91.89453125","'91.89453125","'92.52929688","'89.84375000","'90.08789063",
"'57.37304688","'91.84570313","'88.86718750","'90.57617188","'90.57617188","'91.16210938","'88.52539063","'88.76953125",
"'56.64062500","'90.67382813","'87.69531250","'89.40429688","'89.40429688","'89.99023438","'87.40234375","'87.59765625",
"'57.03125000","'91.21093750","'88.23242188","'89.94140625","'89.94140625","'90.52734375","'87.93945313","'88.18359375",
"'57.47070313","'91.99218750","'89.01367188","'90.72265625","'90.72265625","'91.30859375","'88.67187500","'88.91601563",
"'56.10351563","'89.79492188","'86.86523438","'88.52539063","'88.52539063","'89.11132813","'86.57226563","'86.76757813",
"'80.37109375","'88.86718750","'85.93750000","'87.59765625","'87.59765625","'88.18359375","'85.64453125","'85.88867188",
"'80.37109375","'81.93359375","'79.24804688","'80.76171875","'80.76171875","'81.29882813","'78.95507813","'79.15039063",
"'56.54296875","'90.52734375","'87.54882813","'89.25781250","'89.25781250","'89.84375000","'87.25585938","'87.50000000",
"'55.32226563","'88.52539063","'85.64453125","'87.25585938","'87.25585938","'87.84179688","'85.30273438","'85.54687500",
"'58.59375000","'93.75000000","'90.67382813","'92.43164063","'92.43164063","'93.06640625","'90.38085938","'90.57617188",
