"'Aces = 1","'Count and add only Aces","'1","'1","'I","'2","'2","'2",
"'Twos =2","'Count and add only Twos","'96","'8","'6","'6","'6","'4",
"'Threes = 3","'Count and add only Threes","'9","'12","'9","'6","'3","'9",
"'Fours :: 4","'Count and add only Fours","'12","'12","'12","'12","'12","'15",
"'Fives : = 5","'Count and add only Fives","'15","'15","'15","'20","'15","'10",
"'Sixes =6","'Count and add only Sixes","'18","'24","'18","'18","'18","'18",
"'TOTAL","'","'61","'72","'61","'64","'56","'64",
"'If total score BONUS is 63 or over","'SCORE 35","'","'35","'0","'35","'0","'35",
"'TOTAL Of Upper Section","'","'61","'107","'61","'99","'56","'99",
"'LOWER SECTION","'","'","'","'","'","'","'",
"'3 of a Kind","'Add total of all dice","'25","'21","'25","'19","'20","'17",
"'4 of a Kind","'Add total of all dice","'28","'23","'0","'23","'21","'0",
"'Full House","'SCORE 25","'25","'25","'25","'25","'25","'25",
"'SM Straight Sequence of 4","'SCORE 30","'30","'30","'30","'30","'30","'30",
"'LG Straight Sequence of 5","'SCORE 40","'40","'","'40","'40","'0","'40",
"'YAHTZEE 5 of a Kind","'SCORE 50","'","'","'0","'0","'50","'0",
"'Chance","'Score total of all dice","'18","'23","'23","'22","'22","'17",
"'YAHTZEE","'X FOR EACH BONUS","'","'","'","'","'","'",
"'BONUS","'SCORE 100 PER X","'","'","'","'","'","'",
"'TOTAL Of Lower Section","'","'166","'122","'143","'159","'168","'129",
"'TOTAL Of Upper Section","'","'61","'107","'61","'99","'56","'99",
"'GRAND TOTAL","'","'227","'229","'204","'258","'224","'228",
"'©1982, 2014 Hasbro, Pawtucket","'","'","'","'","'","'","'",
,,,,,,,

'Confidence Scores % (Table Cell)
""'45.01953125","'89.64843750","'87.74414063","'90.57617188","'91.50390625","'91.45507813","'90.67382813","'89.84375000",
"'43.21289063","'85.98632813","'84.22851563","'86.91406250","'87.79296875","'87.74414063","'87.01171875","'86.23046875",
"'44.31152344","'88.23242188","'86.37695313","'89.11132813","'90.03906250","'89.99023438","'89.20898438","'88.42773438",
"'45.31250000","'90.18554688","'88.33007813","'91.11328125","'92.04101563","'91.99218750","'91.21093750","'90.42968750",
"'45.33691406","'90.28320313","'88.37890625","'91.21093750","'92.13867188","'92.08984375","'91.30859375","'90.52734375",
"'45.31250000","'90.18554688","'88.33007813","'91.11328125","'92.04101563","'91.99218750","'91.21093750","'90.42968750",
"'45.26367188","'90.08789063","'88.23242188","'91.01562500","'91.94335938","'91.89453125","'91.11328125","'90.33203125",
"'45.38574219","'90.38085938","'88.47656250","'91.30859375","'92.23632813","'92.18750000","'91.40625000","'90.62500000",
"'45.94726563","'91.45507813","'89.55078125","'92.43164063","'93.35937500","'93.31054688","'92.52929688","'91.69921875",
"'45.82519531","'77.73437500","'77.73437500","'77.73437500","'84.76562500","'84.76562500","'87.01171875","'87.01171875",
"'44.31152344","'88.23242188","'86.37695313","'89.11132813","'90.03906250","'89.99023438","'89.20898438","'88.42773438",
"'44.48242188","'88.52539063","'86.66992188","'89.45312500","'90.38085938","'90.33203125","'89.55078125","'88.76953125",
"'44.38476563","'88.33007813","'86.52343750","'89.25781250","'90.18554688","'90.13671875","'89.35546875","'88.57421875",
"'44.21386719","'88.03710938","'86.18164063","'88.96484375","'89.84375000","'89.79492188","'89.01367188","'88.28125000",
"'43.35937500","'86.32812500","'84.52148438","'87.20703125","'88.13476563","'88.08593750","'87.30468750","'86.57226563",
"'42.48046875","'84.57031250","'82.81250000","'85.44921875","'86.32812500","'86.32812500","'85.54687500","'84.81445313",
"'38.64746094","'76.95312500","'75.34179688","'77.73437500","'78.51562500","'78.51562500","'77.83203125","'77.14843750",
"'60.30273438","'74.41406250","'72.85156250","'75.19531250","'75.97656250","'75.92773438","'75.24414063","'74.60937500",
"'60.30273438","'67.91992188","'66.50390625","'68.60351563","'69.33593750","'69.28710938","'68.70117188","'68.06640625",
"'41.74804688","'83.10546875","'81.39648438","'83.98437500","'84.86328125","'84.81445313","'84.08203125","'83.34960938",
"'40.52734375","'80.71289063","'79.00390625","'81.54296875","'82.37304688","'82.32421875","'81.59179688","'80.90820313",
"'40.82031250","'81.25000000","'56.78710938","'82.08007813","'64.69726563","'81.39648438","'87.20703125","'79.10156250",
"'21.50878906","'42.82226563","'56.78710938","'43.26171875","'64.69726563","'81.39648438","'87.20703125","'79.10156250",
