"'Aces = 1","'Count and add only Aces","'2","'3","'3","'4","'2","'4","'",
"'Twos = 2","'Count and add only Twos","'4","'6","'6","'8","'6","'4","'",
"'Threes = 3","'Count and add only Threes","'12","'9","'6","'6","'9","'9","'",
"'Fours = 4","'Count and add only Fours","'16","'12","'12","'16","'12","'8","'",
"'Fives = 5","'Count and add only Fives","'IS","'IS","'20","'15","'15","'20","'",
"'Sixes = 6","'Count and add only Sixes","'18","'18","'18","'18","'18","'24","'",
"'TOTAL","'","'67","'63","'65","'67","'62","'67","'",
"'If total score BONUS is 63 or over","'SCORE 35","'35","'35","'35","'35","'","'35","'",
"'TOTAL Of Upper Section","'","'102","'98","'100","'102","'62","'102","'",
,,,,,,,,

'Confidence Scores % (Table Cell)
""'45.77636719","'89.94140625","'87.98828125","'90.08789063","'90.86914063","'89.50195313","'89.35546875","'89.01367188","'54.68750000",
"'45.11718750","'88.72070313","'86.76757813","'88.81835938","'89.59960938","'88.23242188","'88.13476563","'87.74414063","'53.90625000",
"'45.04394531","'88.57421875","'86.62109375","'88.72070313","'89.45312500","'88.13476563","'87.98828125","'87.59765625","'53.80859375",
"'45.65429688","'89.74609375","'87.74414063","'89.84375000","'90.62500000","'89.25781250","'89.11132813","'88.76953125","'54.54101563",
"'45.65429688","'89.74609375","'87.74414063","'89.84375000","'90.62500000","'89.25781250","'89.11132813","'88.76953125","'54.54101563",
"'45.94726563","'90.33203125","'88.33007813","'90.47851563","'91.25976563","'89.89257813","'89.74609375","'89.35546875","'54.88281250",
"'46.26464844","'90.91796875","'88.91601563","'91.06445313","'91.89453125","'90.47851563","'90.33203125","'89.94140625","'55.27343750",
"'45.67871094","'89.79492188","'87.79296875","'89.89257813","'90.67382813","'89.30664063","'89.16015625","'88.81835938","'54.54101563",
"'47.24121094","'92.82226563","'90.82031250","'92.96875000","'93.79882813","'92.38281250","'92.23632813","'91.84570313","'56.39648438",
