"'NOT_SELECTED Aces = 1","'Count and add only Aces","'2","'3","'I","'4","'3","'2",
"'NOT_SELECTED Twos : = 2","'Count and add only Twos","'6","'6","'8","'6","'6","'6",
"'SELECTED Threes : = 3","'Count and add only Threes","'12","'9","'6","'12","'12","'812",
"'NOT_SELECTED Fours : : = 4","'Count and add only Fours","'12","'12","'8","'08","'15","'12",
"'NOT_SELECTED Fives =5","'Count and add only Fives","'20","'10","'IS","'15","'12","'15",
"'NOT_SELECTED Sixes =6","'Count and add only Sixes","'18","'24","'18","'18","'18","'18",
"'TOTAL","'","'70","'64","'56","'63","'66","'65",
"'If total score BONUS is 63 or over","'SCORE 35","'35","'35","'0","'35","'35","'35",
"'TOTAL Of Upper Section","'","'105","'99","'56","'98","'101","'100",
,,,,,,,

'Confidence Scores % (Table Cell)
""'55.71289063","'92.96875000","'90.38085938","'92.08984375","'92.23632813","'92.13867188","'91.99218750","'92.96875000",
"'54.83398438","'91.55273438","'89.01367188","'90.72265625","'90.82031250","'90.77148438","'90.62500000","'91.55273438",
"'54.39453125","'90.77148438","'88.28125000","'89.94140625","'90.08789063","'89.99023438","'89.84375000","'90.77148438",
"'54.00390625","'90.13671875","'87.64648438","'89.30664063","'89.45312500","'89.35546875","'89.20898438","'90.13671875",
"'53.85742188","'89.89257813","'87.45117188","'89.06250000","'89.20898438","'89.11132813","'88.96484375","'89.89257813",
"'54.58984375","'91.11328125","'88.62304688","'90.28320313","'90.42968750","'90.33203125","'90.18554688","'91.11328125",
"'54.05273438","'90.18554688","'87.69531250","'89.35546875","'89.50195313","'89.40429688","'89.25781250","'90.18554688",
"'54.19921875","'90.47851563","'87.98828125","'89.64843750","'89.79492188","'89.69726563","'89.55078125","'90.47851563",
"'56.05468750","'93.55468750","'91.01562500","'92.72460938","'92.87109375","'92.77343750","'92.62695313","'93.55468750",
