"'LOWER SECTION","'","'","'","'","'","'","'",
"'3 of a Kind","'Add total of all dice","'","'14","'19","'21","'21","'25",
"'4 of a Kind","'Add total of all dice","'0","'0","'22","'0","'0","'25",
"'Full House","'SCORE 25","'25","'25","'25","'25","'25","'26",
"'SM Straight Sequence of 4","'SCORE 30","'30","'30","'30","'30","'30","'30",
"'LG Straight Sequence of 5","'SCORE 40","'40","'40","'40","'40","'40","'0",
"'YAHTZEE 5 of a Kind","'SCORE 50","'0","'so","'0","'0","'","'0",
"'Chance","'Score total of all dice","'22","'25","'19","'18","'19","'19",
"'YAHTZEE","'X FOR EACH BONUS","'","'","'","'","'","'",
"'BONUS","'SCORE 100 PER X","'","'","'","'","'","'",
"'TOTAL Of Lower Section","'","'117","'184","'155","'134","'135","'125",
"'TOTAL Of Upper Section","'","'98","'99","'101","'so","'101","'60",
"'GRAND TOTAL","'","'215","'283","'256","'184","'236","'185",
,,,,,,,

'Confidence Scores % (Table Cell)
""'47.16796875","'87.10937500","'87.10937500","'87.10937500","'84.91210938","'84.91210938","'78.80859375","'78.80859375",
"'46.65527344","'91.55273438","'87.98828125","'90.38085938","'91.21093750","'90.86914063","'89.94140625","'88.81835938",
"'46.70410156","'91.65039063","'88.08593750","'90.47851563","'91.30859375","'90.96679688","'90.03906250","'88.91601563",
"'46.21582031","'90.72265625","'87.20703125","'89.55078125","'90.38085938","'90.03906250","'89.11132813","'88.03710938",
"'45.70312500","'89.64843750","'86.18164063","'88.52539063","'89.35546875","'89.01367188","'88.13476563","'87.01171875",
"'45.50781250","'89.30664063","'85.83984375","'88.13476563","'88.96484375","'88.67187500","'87.74414063","'86.66992188",
"'45.41015625","'89.11132813","'85.64453125","'87.98828125","'88.76953125","'88.47656250","'87.54882813","'86.47460938",
"'44.67773438","'87.64648438","'84.27734375","'86.52343750","'87.35351563","'87.01171875","'86.13281250","'85.05859375",
"'92.77343750","'90.52734375","'87.01171875","'89.35546875","'90.18554688","'89.84375000","'88.96484375","'87.84179688",
"'92.77343750","'86.91406250","'83.54492188","'85.79101563","'86.57226563","'86.27929688","'85.40039063","'84.32617188",
"'44.87304688","'88.03710938","'84.61914063","'86.91406250","'87.69531250","'87.40234375","'86.52343750","'85.44921875",
"'45.04394531","'88.37890625","'84.96093750","'87.25585938","'88.03710938","'87.74414063","'86.81640625","'85.74218750",
"'46.28906250","'90.82031250","'87.30468750","'89.69726563","'90.52734375","'90.18554688","'89.25781250","'88.18359375",
