"'NOT_SELECTED Aces = 1","'Count and add only Aces","'6","'3","'4","'3","'3","'0",
"'NOT_SELECTED Twos : = 2","'Count and add only Twos","'6","'8","'2","'8","'4","'4",
"'Threes : = 3","'Count and add only Threes","'12","'12","'9","'0","'9","'6",
"'NOT_SELECTED Fours :: = 4","'Count and add only Fours","'12","'8","'12","'12","'12","'12",
"'NOT_SELECTED Fives : = 5","'Count and add only Fives","'IS","'IS","'IS","'IS","'20","'20",
"'Sixes =6","'Count and add only Sixes","'18","'18","'24","'12","'18","'18",
"'TOTAL","'","'63","'64","'66","'50","'66","'60",
"'If total score BONUS is 63 or over","'SCORE 35","'35","'35","'35","'0","'35","'0",
"'TOTAL Of Upper Section","'","'98","'99","'101","'50","'101","'60",
,,,,,,,

'Confidence Scores % (Table Cell)
""'67.13867188","'92.23632813","'89.74609375","'91.40625000","'91.79687500","'91.74804688","'91.25976563","'92.04101563",
"'65.72265625","'90.33203125","'87.89062500","'89.50195313","'89.84375000","'89.79492188","'89.35546875","'90.13671875",
"'66.25976563","'91.06445313","'88.62304688","'90.23437500","'90.62500000","'90.57617188","'90.08789063","'90.86914063",
"'66.21093750","'90.96679688","'88.52539063","'90.13671875","'90.52734375","'90.47851563","'89.99023438","'90.77148438",
"'65.62500000","'90.18554688","'87.74414063","'89.35546875","'89.74609375","'89.69726563","'89.20898438","'89.99023438",
"'66.16210938","'90.91796875","'88.47656250","'90.08789063","'90.47851563","'90.42968750","'89.94140625","'90.77148438",
"'65.57617188","'90.13671875","'87.69531250","'89.30664063","'89.69726563","'89.64843750","'89.16015625","'89.94140625",
"'66.01562500","'90.72265625","'88.28125000","'89.89257813","'90.28320313","'90.23437500","'89.79492188","'90.57617188",
"'67.91992188","'93.31054688","'90.82031250","'92.48046875","'92.87109375","'92.82226563","'92.33398438","'93.11523438",
