"'LOWER SECTION","'","'","'","'","'","'","'",
"'3 of a Kind","'Add total of all dice","'15","'18","'27","'27","'16","'25",
"'4 of a Kind","'Add total of all dice","'0","'18","'18","'0","'23","'0",
"'Full House","'SCORE 25","'25","'25","'25","'25","'25","'25",
"'SM Straight Sequence of 4","'SCORE 30","'30","'30","'30","'30","'30","'30",
"'LG Straight Sequence of 5","'SCORE 40","'40","'40","'0","'0","'40","'0",
"'YAHTZEE 5 of a Kind","'SCORE 50","'0","'0","'","'0","'","'of",
"'Chance","'Score total of all dice","'22","'24","'26","'24","'22","'24",
"'YAHTZEE","'X FOR EACH BONUS","'","'","'","'","'","'",
"'BONUS","'SCORE DO PER 50","'","'","'","'","'","'",
"'TOTAL Of Lower Section","'","'132","'155","'126","'106","'156","'104",
"'TOTAL Of Upper Section","'","'62","'102","'101","'100","'99","'98",
"'GRAND TOTAL","'-","'194","'257","'227","'206","'255","'202",
,,,,,,,

'Confidence Scores % (Table Cell)
""'50.48828125","'69.77539063","'69.77539063","'69.77539063","'64.89257813","'64.89257813","'67.72460938","'67.72460938",
"'49.92675781","'90.57617188","'87.15820313","'89.25781250","'89.45312500","'89.99023438","'89.01367188","'88.42773438",
"'50.53710938","'91.69921875","'88.23242188","'90.38085938","'90.57617188","'91.11328125","'90.08789063","'89.55078125",
"'50.04882813","'90.82031250","'87.40234375","'89.55078125","'89.74609375","'90.28320313","'89.25781250","'88.72070313",
"'49.63378906","'90.03906250","'86.66992188","'88.76953125","'88.96484375","'89.50195313","'88.47656250","'87.93945313",
"'49.36523438","'89.59960938","'86.18164063","'88.28125000","'88.47656250","'89.01367188","'88.03710938","'87.50000000",
"'49.43847656","'89.64843750","'86.27929688","'88.37890625","'88.57421875","'89.11132813","'88.13476563","'87.54882813",
"'48.80371094","'88.52539063","'85.20507813","'87.30468750","'87.45117188","'87.98828125","'87.01171875","'86.47460938",
"'83.39843750","'89.35546875","'85.98632813","'88.08593750","'88.23242188","'88.81835938","'87.79296875","'87.25585938",
"'83.39843750","'85.30273438","'82.08007813","'84.08203125","'84.27734375","'84.81445313","'83.83789063","'83.30078125",
"'49.29199219","'89.45312500","'86.08398438","'88.18359375","'88.33007813","'88.86718750","'87.89062500","'87.35351563",
"'48.73046875","'88.42773438","'85.05859375","'87.15820313","'87.30468750","'87.89062500","'86.86523438","'86.32812500",
"'51.12304688","'92.77343750","'89.25781250","'91.45507813","'91.65039063","'92.18750000","'91.16210938","'90.57617188",
