"'Aces = 1","'Count and add only Aces","'","'2","'T 1","'3","'0","'4",
"'Twos = 2","'Count and add only Twos","'6","'8","'6","'6","'6","'6",
"'Threes = 3","'Count and add only Threes","'9","'12","'12","'9","'9","'9",
"'Fours :: = 4","'Count and add only Fours","'8","'12","'8","'12","'12","'12",
"'Fives = 5","'Count and add only Fives","'15","'15","'20","'15","'15","'20",
"'Sixes = 6","'Count and add only Sixes","'18","'18","'18","'18","'18","'18",
"'TOTAL","'","'59","'67","'65","'63","'60","'69",
"'BONUS If total score is 63 or over","'SCORE 35","'0","'35","'35","'35","'p","'35",
"'TOTAL Of Upper Section","'","'59","'102","'100","'98","'60","'104",
"'LOWER SECTION","'","'","'","'","'","'11","'",
"'3 of a Kind","'Add total of all dice","'28","'20","'28","'22","'i 30.","'23",
"'4 of a Kind","'Add total of all dice","'23","'0","'18","'14","'0","'24",
"'Full House","'SCORE 25","'25","'0","'25","'25","'25","'25",
"'SM Straight Sequence of 4","'SCORE 30","'30","'30","'30","'30","'30","'30",
"'LG Straight Sequence of 5","'SCORE 40","'40","'40","'40","'40","'OF","'40",
"'YAHTZEE 5 of a Kind","'SCORE 50","'","'0","'&","'0","'0","'&",
"'Chance","'Score total of all dice","'25","'22","'19","'15","'22","'18",
"'YAHTZEE","'X FOR EACH BONUS","'","'","'","'","'","'",
"'BONUS","'SCORE 100 PER X","'","'","'","'","'","'",
"'TOTAL Of Lower Section","'","'171","'112","'160","'146","'107","'",
"'TOTAL Of Upper Section","'","'59","'102","'100","'98","'60","'160",
"'GRAND TOTAL","'","'230","'214","'260","'244","'167","'104",
"'","'","'","'","'","'","'","'264",
,,,,,,,

'Confidence Scores % (Table Cell)
""'52.63671875","'93.75000000","'90.03906250","'90.33203125","'90.52734375","'91.99218750","'90.13671875","'90.77148438",
"'51.75781250","'92.18750000","'88.52539063","'88.86718750","'89.01367188","'90.47851563","'88.62304688","'89.25781250",
"'51.75781250","'92.13867188","'88.47656250","'88.81835938","'88.96484375","'90.42968750","'88.57421875","'89.20898438",
"'51.02539063","'90.86914063","'87.25585938","'87.54882813","'87.74414063","'89.16015625","'87.35351563","'87.98828125",
"'51.56250000","'91.79687500","'88.13476563","'88.47656250","'88.67187500","'90.08789063","'88.23242188","'88.91601563",
"'51.61132813","'91.89453125","'88.23242188","'88.57421875","'88.76953125","'90.18554688","'88.33007813","'89.01367188",
"'50.63476563","'90.18554688","'86.62109375","'86.91406250","'87.10937500","'88.52539063","'86.71875000","'87.35351563",
"'50.73242188","'90.38085938","'86.81640625","'87.10937500","'87.30468750","'88.72070313","'86.86523438","'87.50000000",
"'52.97851563","'94.38476563","'90.62500000","'90.96679688","'91.11328125","'92.62695313","'90.72265625","'91.35742188",
"'52.09960938","'69.09179688","'69.09179688","'69.09179688","'37.79296875","'37.79296875","'32.00683594","'32.00683594",
"'49.53613281","'88.23242188","'84.71679688","'85.00976563","'85.20507813","'86.57226563","'84.81445313","'85.40039063",
"'50.92773438","'90.67382813","'87.06054688","'87.40234375","'87.54882813","'88.96484375","'87.15820313","'87.79296875",
"'49.85351563","'88.76953125","'85.25390625","'85.54687500","'85.74218750","'87.10937500","'85.35156250","'85.98632813",
"'49.78027344","'88.62304688","'85.10742188","'85.44921875","'85.59570313","'87.01171875","'85.20507813","'85.83984375",
"'48.33984375","'86.08398438","'82.66601563","'82.95898438","'83.15429688","'84.47265625","'82.76367188","'83.34960938",
"'48.58398438","'86.52343750","'83.05664063","'83.39843750","'83.54492188","'84.91210938","'83.15429688","'83.78906250",
"'46.65527344","'83.10546875","'79.78515625","'80.07812500","'80.27343750","'81.54296875","'79.88281250","'80.46875000",
"'94.09179688","'78.07617188","'75.00000000","'75.24414063","'75.43945313","'76.66015625","'75.04882813","'75.63476563",
"'94.09179688","'64.79492188","'62.20703125","'62.45117188","'62.59765625","'63.57421875","'62.30468750","'62.74414063",
"'48.92578125","'87.10937500","'83.64257813","'83.98437500","'84.13085938","'85.49804688","'83.74023438","'84.37500000",
"'48.99902344","'87.25585938","'83.78906250","'84.08203125","'84.27734375","'85.64453125","'83.88671875","'84.52148438",
"'50.92773438","'90.67382813","'87.06054688","'87.40234375","'87.54882813","'88.96484375","'87.15820313","'87.79296875",
"'45.23925781","'45.23925781","'45.23925781","'45.23925781","'45.23925781","'45.23925781","'66.74804688","'67.23632813",
