"'LOWER SECTION","'","'","'","'","'","'","'11","'",
"'3 of a Kind","'","'Add total of all dice","'28","'20","'28","'22","'i 30","'23",
"'4 of a Kind","'","'Add total of all dice","'23","'0","'18","'14","'0","'24",
"'Full House","'","'SCORE 25","'25","'0","'25","'25","'25","'25",
"'SM Straight","'Sequence of 4","'SCORE 30","'30","'30","'30","'30","'30","'30",
"'LG Straight","'Sequence of 5","'SCORE 40","'40","'40","'40","'40","'06","'40",
"'YAHTZEE","'5 of a Kind","'SCORE 50","'","'0","'0","'0","'0","'&",
"'Chance","'","'Score total of all dice","'25","'22","'19","'15","'22","'18",
"'YAHTZEE","'","'X FOR EACH BONUS","'","'","'","'","'","'",
"'BONUS","'","'SCORE 100 PER X","'","'","'","'","'","'",
"'TOTAL","'Of Lower Section","'","'171","'112","'160","'146","'","'",
"'TOTAL","'Of Upper Section","'","'59","'102","'100","'98","'107 60","'160",
"'GRAND TOTAL","'","'","'230","'214","'260","'244","'","'104",
"'","'","'","'","'","'","'","'167","'264",
,,,,,,,,

'Confidence Scores % (Table Cell)
""'87.69531250","'87.69531250","'82.86132813","'82.86132813","'82.86132813","'56.59179688","'56.59179688","'55.07812500","'55.07812500",
"'81.44531250","'81.44531250","'89.30664063","'84.47265625","'87.74414063","'88.47656250","'88.28125000","'87.25585938","'87.20703125",
"'70.26367188","'70.26367188","'89.79492188","'84.96093750","'88.23242188","'88.96484375","'88.81835938","'87.74414063","'87.69531250",
"'59.17968750","'59.17968750","'89.06250000","'84.27734375","'87.50000000","'88.23242188","'88.08593750","'87.01171875","'86.96289063",
"'38.35449219","'39.13574219","'88.86718750","'84.08203125","'87.35351563","'88.03710938","'87.89062500","'86.81640625","'86.81640625",
"'37.64648438","'38.42773438","'87.25585938","'82.51953125","'85.74218750","'86.42578125","'86.27929688","'85.25390625","'85.20507813",
"'37.47558594","'38.23242188","'86.81640625","'82.12890625","'85.30273438","'86.03515625","'85.83984375","'84.81445313","'84.76562500",
"'62.35351563","'62.35351563","'82.76367188","'78.32031250","'81.34765625","'82.03125000","'81.83593750","'80.90820313","'80.85937500",
"'88.76953125","'88.76953125","'80.41992188","'76.12304688","'79.05273438","'79.68750000","'79.54101563","'78.61328125","'78.56445313",
"'88.76953125","'88.76953125","'72.50976563","'68.60351563","'71.28906250","'71.87500000","'71.72851563","'70.84960938","'70.80078125",
"'37.35351563","'38.11035156","'86.52343750","'81.88476563","'85.00976563","'85.74218750","'85.54687500","'84.57031250","'84.52148438",
"'37.69531250","'38.45214844","'87.30468750","'82.61718750","'85.83984375","'86.52343750","'86.32812500","'85.35156250","'85.30273438",
"'75.14648438","'75.14648438","'88.96484375","'84.17968750","'87.45117188","'88.13476563","'87.98828125","'86.91406250","'86.86523438",
"'41.01562500","'41.01562500","'41.01562500","'41.01562500","'41.01562500","'78.17382813","'78.02734375","'77.09960938","'77.05078125",
