"'LOWER SECTION","'","'","'","'","'","'","'",
"'3 of a Kind","'Add total of all dice","'22","'25","'26","'25","'24","'23",
"'4 of a Kind","'Add total of all dice","'27","'0","'","'0","'26","'0",
"'Full House","'SCORE 25","'25","'25","'25","'25","'25","'25",
"'SM Straight Sequence of 4","'SCORE 30","'30","'30","'30","'30","'30","'30",
"'LG Straight Sequence of 5","'SCORE 40","'40","'40","'40","'40","'40","'",
"'YAHTZEE 5 of a Kind","'SCORE 50","'50","'","'0","'0","'0","'",
"'Chance","'Score total of all dice","'23","'23","'20","'21","'22","'22",
"'YAHTZEE","'X FOR EACH BONUS","'","'","'","'","'","'",
"'BONUS","'SCORE 100 PER X","'","'","'","'","'","'",
"'TOTAL Of Lower Section","'","'217","'143","'141","'141","'102","'100",
"'TOTAL Of Upper Section","'","'102","'100","'101","'59","'4 167","'98",
"'GRAND TOTAL","'","'319","'243","'242","'200","'269","'198",
,,,,,,,

'Confidence Scores % (Table Cell)
""'51.31835938","'88.42773438","'88.42773438","'88.42773438","'88.13476563","'88.13476563","'79.05273438","'79.05273438",
"'50.14648438","'91.69921875","'88.03710938","'91.30859375","'91.69921875","'90.96679688","'89.99023438","'90.47851563",
"'50.04882813","'91.55273438","'87.89062500","'91.16210938","'91.55273438","'90.82031250","'89.84375000","'90.33203125",
"'49.73144531","'90.96679688","'87.35351563","'90.62500000","'90.96679688","'90.28320313","'89.30664063","'89.79492188",
"'49.29199219","'90.13671875","'86.57226563","'89.74609375","'90.13671875","'89.45312500","'88.47656250","'88.96484375",
"'49.38964844","'90.33203125","'86.71875000","'89.94140625","'90.33203125","'89.64843750","'88.67187500","'89.11132813",
"'49.16992188","'89.94140625","'86.37695313","'89.59960938","'89.94140625","'89.25781250","'88.28125000","'88.76953125",
"'48.36425781","'88.42773438","'84.96093750","'88.08593750","'88.42773438","'87.79296875","'86.81640625","'87.25585938",
"'90.47851563","'90.28320313","'86.71875000","'89.89257813","'90.28320313","'89.59960938","'88.62304688","'89.06250000",
"'90.47851563","'86.37695313","'82.95898438","'86.03515625","'86.37695313","'85.74218750","'84.81445313","'85.25390625",
"'48.31542969","'88.33007813","'84.86328125","'87.98828125","'88.33007813","'87.69531250","'86.71875000","'87.20703125",
"'48.26660156","'88.28125000","'84.76562500","'87.89062500","'88.28125000","'87.59765625","'86.62109375","'87.10937500",
"'49.51171875","'90.57617188","'86.96289063","'90.18554688","'90.57617188","'89.84375000","'88.91601563","'89.35546875",
