"'LOWER SECTION","'","'","'","'","'","'","'",
"'3 of a Kind","'Add total of all dice","'0","'0","'26","'22","'25","'19",
"'4 of a Kind","'Add total of all dice","'0","'0","'28","'18","'","'21",
"'Full House","'SCORE 25","'25","'25","'25","'25","'25","'25",
"'SM Straight Sequence of 4","'SCORE 30","'30","'30","'30","'30","'30","'30",
"'LG Straight Sequence of 5","'SCORE 40","'0","'0","'40","'40","'40","'",
"'YAHTZEE 5 of a Kind","'SCORE 50","'0","'so","'0","'0","'","'50",
"'Chance","'Score total of all dice","'19","'20","'23","'25","'21","'19",
"'YAHTZEE","'X FOR EACH BONUS","'","'","'","'","'","'",
"'BONUS","'SCORE 100 PER X","'","'","'","'","'","'",
"'TOTAL Of Lower Section","'","'74","'125","'172","'160","'141","'164",
"'TOTAL Of Upper Section","'","'53","'100","'98","'99","'55","'60",
"'GRAND TOTAL","'","'127","'225","'270","'259","'196","'224",
,,,,,,,

'Confidence Scores % (Table Cell)
""'42.35839844","'84.03320313","'84.03320313","'84.03320313","'86.08398438","'86.08398438","'86.71875000","'86.71875000",
"'41.60156250","'92.13867188","'88.23242188","'90.91796875","'90.57617188","'91.11328125","'89.74609375","'90.13671875",
"'41.57714844","'92.08984375","'88.18359375","'90.86914063","'90.52734375","'91.06445313","'89.69726563","'90.08789063",
"'41.40625000","'91.69921875","'87.79296875","'90.47851563","'90.08789063","'90.67382813","'89.25781250","'89.69726563",
"'40.72265625","'90.18554688","'86.32812500","'88.96484375","'88.62304688","'89.16015625","'87.79296875","'88.18359375",
"'40.89355469","'90.57617188","'86.76757813","'89.40429688","'89.01367188","'89.59960938","'88.23242188","'88.62304688",
"'40.55175781","'89.79492188","'85.98632813","'88.62304688","'88.23242188","'88.76953125","'87.45117188","'87.84179688",
"'40.52734375","'89.74609375","'85.93750000","'88.57421875","'88.18359375","'88.72070313","'87.40234375","'87.79296875",
"'91.55273438","'92.04101563","'88.13476563","'90.82031250","'90.47851563","'91.01562500","'89.64843750","'90.03906250",
"'91.55273438","'87.50000000","'83.78906250","'86.37695313","'86.03515625","'86.52343750","'85.20507813","'85.59570313",
"'40.45410156","'89.59960938","'85.79101563","'88.42773438","'88.03710938","'88.62304688","'87.25585938","'87.64648438",
"'40.89355469","'90.57617188","'86.76757813","'89.40429688","'89.01367188","'89.59960938","'88.23242188","'88.62304688",
"'42.06542969","'93.16406250","'89.25781250","'91.94335938","'91.60156250","'92.13867188","'90.72265625","'91.16210938",
