"'NOT_SELECTED Aces = 1","'Count and add only Aces","'1","'","'2","'I","'12","'( 2",
"'NOT_SELECTED Twos = 2","'Count and add only Twos","'8","'76","'6","'6","'8","'0",
"'SELECTED Threes = 3","'Count and add only Threes","'9","'9","'12","'3","'12","'9",
"'NOT_SELECTED Fours :: = 4","'Count and add only Fours","'12","'16","'12","'16","'12","'12",
"'SELECTED Fives 5","'Count and add only Fives","'IS","'20","'IS","'15","'15","'IS",
"'SELECTED Sixes =6","'Count and add only Sixes","'18","'18","'18","'12","'18","'18",
"'TOTAL","'","'63","'70","'65","'53","'67","'56",
"'BONUS If total score is 63 or over","'SCORE 35","'35","'35","'35","'0","'35","'0",
"'TOTAL Of Upper Section","'","'98","'105","'100","'53","'102","'56",
"'LOWER SECTION","'","'","'","'","'","'","'",
"'3 of a Kind","'Add total of all dice","'23","'27","'21","'23","'23","'23",
"'4 of a Kind","'Add total of all dice","'26","'28","'18","'0","'21","'17",
"'Full House","'SCORE 25","'25","'25","'25","'25","'","'25",
"'SM Straight Sequence of 4","'SCORE 30","'30","'30","'30","'30","'30","'30",
"'LG Straight Sequence of 5","'SCORE 40","'40","'40","'40","'40","'40","'40",
"'YAHTZEE 5 of a Kind","'SCORE 50","'50","'50","'0","'0","'","'0",
"'Chance","'Score total of all dice","'22","'21","'24","'20","'22","'18",
"'YAHTZEE","'X FOR EACH BONUS","'","'X","'","'","'","'",
"'BONUS","'SCORE 100 PER X","'","'","'","'","'","'",
"'TOTAL Of Lower Section","'","'216","'271","'158","'138","'136","'153",
"'TOTAL Of Upper Section","'","'98","'105","'100","'53","'102","'56",
"'GRAND TOTAL","'","'214","'376","'258","'191","'238","'209",
"'","'","'","'","'","'","'","'",
,,,,,,,

'Confidence Scores % (Table Cell)
""'54.05273438","'93.89648438","'91.25976563","'92.23632813","'93.06640625","'92.48046875","'91.11328125","'92.28515625",
"'52.68554688","'91.55273438","'88.96484375","'89.89257813","'90.77148438","'90.13671875","'88.81835938","'89.94140625",
"'53.17382813","'92.33398438","'89.74609375","'90.72265625","'91.55273438","'90.91796875","'89.59960938","'90.77148438",
"'52.92968750","'91.94335938","'89.35546875","'90.33203125","'91.16210938","'90.57617188","'89.20898438","'90.38085938",
"'53.07617188","'92.18750000","'89.59960938","'90.57617188","'91.40625000","'90.82031250","'89.45312500","'90.62500000",
"'52.68554688","'91.55273438","'88.96484375","'89.89257813","'90.77148438","'90.13671875","'88.81835938","'89.94140625",
"'52.68554688","'91.55273438","'88.96484375","'89.89257813","'90.77148438","'90.13671875","'88.81835938","'89.94140625",
"'52.63671875","'91.45507813","'88.86718750","'89.84375000","'90.67382813","'90.03906250","'88.72070313","'89.89257813",
"'53.85742188","'93.55468750","'90.91796875","'91.89453125","'92.77343750","'92.13867188","'90.77148438","'91.94335938",
"'53.90625000","'73.77929688","'73.77929688","'73.77929688","'73.48632813","'73.48632813","'78.71093750","'78.71093750",
"'51.26953125","'89.01367188","'86.52343750","'87.45117188","'88.28125000","'87.69531250","'86.37695313","'87.50000000",
"'51.85546875","'90.03906250","'87.50000000","'88.42773438","'89.25781250","'88.67187500","'87.35351563","'88.47656250",
"'51.95312500","'90.23437500","'87.64648438","'88.62304688","'89.45312500","'88.86718750","'87.50000000","'88.67187500",
"'51.61132813","'89.64843750","'87.10937500","'88.03710938","'88.86718750","'88.28125000","'86.96289063","'88.08593750",
"'51.41601563","'89.25781250","'86.76757813","'87.69531250","'88.52539063","'87.93945313","'86.62109375","'87.74414063",
"'50.43945313","'87.59765625","'85.15625000","'86.08398438","'86.86523438","'86.27929688","'85.00976563","'86.13281250",
"'49.80468750","'86.47460938","'84.03320313","'84.96093750","'85.74218750","'85.15625000","'83.88671875","'85.00976563",
"'76.12304688","'85.05859375","'82.66601563","'83.54492188","'84.32617188","'83.78906250","'82.51953125","'83.59375000",
"'76.12304688","'65.47851563","'63.62304688","'64.30664063","'64.89257813","'64.50195313","'63.52539063","'64.35546875",
"'50.83007813","'88.33007813","'85.83984375","'86.76757813","'87.54882813","'86.96289063","'85.69335938","'86.81640625",
"'50.78125000","'88.23242188","'85.74218750","'86.66992188","'87.45117188","'86.91406250","'85.59570313","'86.71875000",
"'50.48828125","'87.69531250","'85.25390625","'86.18164063","'86.96289063","'86.37695313","'85.10742188","'86.18164063",
"'37.93945313","'37.93945313","'37.93945313","'37.93945313","'54.98046875","'54.63867188","'53.80859375","'54.49218750",
