"'NOT_SELECTED Aces = 1","'Count and add only Aces","'1","'P","'","'","'0","'0",
"'NOT_SELECTED Twos = 2","'Count and add only Twos","'4","'8","'8","'6","'4","'6",
"'Threes = 3","'Count and add only Threes","'9","'9","'9","'12","'9","'6",
"'NOT_SELECTED Fours : : = 4","'Count and add only Fours","'12","'12","'12","'12","'16","'4",
"'Fives = 5","'Count and add only Fives","'20","'15","'15","'15","'15","'20",
"'Sixes = 6","'Count and add only Sixes","'800","'24","'18","'18","'18","'24",
"'TOTAL","'","'64","'69","'63","'64","'62","'60",
"'If total.score BONUS is 63 or over","'SCORE 35","'35","'35","'35","'35","'0","'0",
"'TOTAL Of Upper Section","'","'99","'104","'98","'99","'62","'60",
,,,,,,,

'Confidence Scores % (Table Cell)
""'48.65722656","'93.40820313","'91.25976563","'92.87109375","'91.65039063","'91.50390625","'92.62695313","'90.91796875",
"'47.43652344","'91.11328125","'89.01367188","'90.57617188","'89.35546875","'89.20898438","'90.33203125","'88.67187500",
"'47.50976563","'91.25976563","'89.11132813","'90.72265625","'89.50195313","'89.35546875","'90.47851563","'88.81835938",
"'47.68066406","'91.60156250","'89.45312500","'91.01562500","'89.84375000","'89.69726563","'90.82031250","'89.11132813",
"'47.94921875","'92.08984375","'89.94140625","'91.55273438","'90.33203125","'90.18554688","'91.30859375","'89.64843750",
"'47.94921875","'92.08984375","'89.94140625","'91.55273438","'90.33203125","'90.18554688","'91.30859375","'89.64843750",
"'48.41308594","'92.96875000","'90.77148438","'92.38281250","'91.16210938","'91.01562500","'92.13867188","'90.47851563",
"'48.02246094","'92.23632813","'90.08789063","'91.69921875","'90.47851563","'90.33203125","'91.45507813","'89.79492188",
"'48.60839844","'93.31054688","'91.16210938","'92.77343750","'91.55273438","'91.40625000","'92.52929688","'90.82031250",
