"'LOWER SECTION","'","'","'","'","'","'","'",
"'3 of a Kind","'Add total of all dice","'23","'27","'","'0","'0","'20",
"'4 of a Kind","'Add total of all dice","'9","'23","'","'22","'0","'0",
"'Full House","'SCORE 25","'25","'25","'25","'0","'","'25",
"'SM Straight Sequence of 4","'SCORE 30","'30","'30","'30","'30","'30","'30",
"'LG Straight Sequence of 5","'SCORE 40","'40","'40","'0","'40","'40","'40",
"'YAHTZEE 5 of a Kind","'SCORE 50","'0","'50","'so","'sa","'50","'0",
"'Chance","'Score total of all dice","'20","'24","'22","'22","'24","'20",
"'YAHTZEE","'X FOR EACH BONUS","'","'","'","'","'","'",
"'BONUS","'SCORE 100 PER X","'","'","'","'FEE","'","'",
"'TOTAL Of Lower Section","'","'147","'219","'153","'164","'144","'135",
"'TOTAL Of Upper Section","'","'100","'41","'103","'60","'59","'101",
"'GRAND TOTAL","'","'247","'260","'256","'224","'203","'236",
,,,,,,,

'Confidence Scores % (Table Cell)
""'59.32617188","'45.60546875","'45.60546875","'45.60546875","'45.60546875","'45.60546875","'70.01953125","'70.01953125",
"'58.30078125","'88.86718750","'86.47460938","'86.91406250","'88.13476563","'88.33007813","'88.08593750","'88.18359375",
"'59.66796875","'90.91796875","'88.47656250","'88.96484375","'90.18554688","'90.38085938","'90.13671875","'90.23437500",
"'59.57031250","'90.82031250","'88.37890625","'88.86718750","'90.08789063","'90.28320313","'90.03906250","'90.13671875",
"'59.17968750","'90.23437500","'87.79296875","'88.23242188","'89.50195313","'89.64843750","'89.45312500","'89.55078125",
"'59.08203125","'90.03906250","'87.59765625","'88.08593750","'89.30664063","'89.50195313","'89.25781250","'89.35546875",
"'58.98437500","'89.89257813","'87.50000000","'87.93945313","'89.16015625","'89.35546875","'89.11132813","'89.20898438",
"'57.61718750","'87.79296875","'85.44921875","'85.88867188","'87.10937500","'87.25585938","'87.06054688","'87.15820313",
"'95.01953125","'90.28320313","'87.84179688","'88.28125000","'89.55078125","'89.69726563","'89.50195313","'89.59960938",
"'95.01953125","'81.83593750","'79.63867188","'80.02929688","'81.15234375","'81.34765625","'81.10351563","'81.20117188",
"'58.74023438","'89.50195313","'87.10937500","'87.54882813","'88.76953125","'88.96484375","'88.72070313","'88.81835938",
"'57.95898438","'88.33007813","'85.98632813","'86.42578125","'87.59765625","'87.79296875","'87.54882813","'87.64648438",
"'59.32617188","'90.42968750","'87.98828125","'88.42773438","'89.69726563","'89.84375000","'89.64843750","'89.69726563",
