"'LOWER SECTION","'","'","'","'","'","'","'",
"'3 of a Kind","'Add total of all dice","'25","'23","'24","'0","'19","'22",
"'4 of a Kind","'Add total of all dice","'8","'","'29","'29","'22","'0",
"'Full House","'SCORE 25","'25","'25","'25","'25","'0","'25",
"'SM Straight Sequence of 4","'SCORE 30","'30","'30","'30","'30","'30","'30",
"'LG Straight Sequence of 5","'SCORE 40","'40","'0","'40","'x","'40","'40",
"'YAHTZEE 5 of a Kind","'SCORE 50","'50","'","'so","'50","'DO","'so",
"'Chance","'Score total of all dice","'24","'19","'20","'16","'26","'24",
"'YAHTZEE","'X FOR EACH BONUS","'y","'","'","'","'","'",
"'BONUS","'SCORE 100 PER X","'","'","'","'","'","'",
"'TOTAL Of Lower Section","'","'252","'97","'218","'150","'137","'191",
"'TOTAL Of Upper Section","'","'100","'SS","'98","'105","'104","'98",
"'GRAND TOTAL","'","'352","'153","'316","'255","'241","'289",
,,,,,,,

'Confidence Scores % (Table Cell)
""'51.66015625","'68.40820313","'68.40820313","'68.40820313","'74.41406250","'74.41406250","'76.75781250","'76.75781250",
"'50.43945313","'90.86914063","'88.37890625","'89.16015625","'89.84375000","'90.28320313","'88.67187500","'88.52539063",
"'51.31835938","'92.43164063","'89.89257813","'90.72265625","'91.40625000","'91.84570313","'90.18554688","'90.03906250",
"'51.12304688","'92.04101563","'89.55078125","'90.33203125","'91.01562500","'91.45507813","'89.84375000","'89.69726563",
"'50.34179688","'90.67382813","'88.23242188","'88.96484375","'89.69726563","'90.08789063","'88.47656250","'88.33007813",
"'50.39062500","'90.72265625","'88.28125000","'89.01367188","'89.74609375","'90.13671875","'88.52539063","'88.37890625",
"'50.48828125","'90.96679688","'88.47656250","'89.25781250","'89.94140625","'90.38085938","'88.76953125","'88.62304688",
"'49.78027344","'89.64843750","'87.20703125","'87.98828125","'88.67187500","'89.06250000","'87.45117188","'87.35351563",
"'89.45312500","'89.94140625","'87.50000000","'88.23242188","'88.91601563","'89.35546875","'87.74414063","'87.59765625",
"'89.45312500","'83.64257813","'81.34765625","'82.08007813","'82.71484375","'83.10546875","'81.64062500","'81.49414063",
"'50.73242188","'91.40625000","'88.91601563","'89.69726563","'90.38085938","'90.77148438","'89.16015625","'89.06250000",
"'49.70703125","'89.50195313","'87.06054688","'87.84179688","'88.52539063","'88.91601563","'87.35351563","'87.20703125",
"'51.61132813","'92.96875000","'90.42968750","'91.21093750","'91.89453125","'92.33398438","'90.67382813","'90.57617188",
