"'","'Aces = 1","'Count and add only Aces","'2","'2","'2","'0","'2","'4",
"'","'NOT_SELECTED Twos = 2","'Count and add only Twos","'6","'4","'4","'6","'4","'8",
"'","'NOT_SELECTED Threes = 3","'Count and add only Threes","'9","'9","'9","'3","'9","'9",
"'","'Fours = 4","'Count and add only Fours","'12","'12","'16","'12","'12","'12",
"'","'Fives = 5","'Count and add only Fives","'IS","'IS","'20","'15","'20","'IS",
"'","'Sixes =6","'Count and add only Sixes","'18","'18","'18","'18","'18","'18",
"'","'TOTAL","'","'62","'60","'69","'54","'65","'66",
"'","'If total score BONUS is 63 or over","'SCORE 35","'0","'0","'35","'0","'35","'35",
"'","'TOTAL Of Upper Section","'","'62","'60","'104","'54","'100","'101",
,,,,,,,,

'Confidence Scores % (Table Cell)
""'49.70703125","'57.51953125","'93.45703125","'90.72265625","'92.13867188","'92.28515625","'91.94335938","'91.69921875","'91.89453125",
"'49.70703125","'56.20117188","'91.35742188","'88.67187500","'90.03906250","'90.18554688","'89.89257813","'89.59960938","'89.84375000",
"'49.70703125","'55.85937500","'90.72265625","'88.08593750","'89.45312500","'89.59960938","'89.25781250","'89.01367188","'89.20898438",
"'49.70703125","'56.05468750","'91.11328125","'88.42773438","'89.84375000","'89.94140625","'89.64843750","'89.35546875","'89.59960938",
"'49.70703125","'56.49414063","'91.79687500","'89.11132813","'90.52734375","'90.67382813","'90.33203125","'90.03906250","'90.28320313",
"'49.70703125","'56.39648438","'91.65039063","'88.96484375","'90.33203125","'90.47851563","'90.13671875","'89.89257813","'90.08789063",
"'49.70703125","'56.15234375","'91.21093750","'88.52539063","'89.89257813","'90.03906250","'89.74609375","'89.45312500","'89.69726563",
"'49.70703125","'56.00585938","'91.01562500","'88.33007813","'89.74609375","'89.84375000","'89.55078125","'89.25781250","'89.50195313",
"'49.70703125","'57.51953125","'93.40820313","'90.67382813","'92.08984375","'92.23632813","'91.89453125","'91.65039063","'91.84570313",
