"'LOWER SECTION","'","'","'","'","'","'","'",
"'3 of a Kind","'Add total of all dice","'22","'17","'27","'22","'23","'22",
"'4 of a Kind","'Add total of all dice","'28","'","'","'0","'17","'0",
"'Full House","'SCORE 25","'","'25","'25","'25","'0","'25",
"'SM Straight Sequence of 4","'SCORE 30","'30","'30","'30","'30","'30","'30",
"'LG Straight Sequence of 5","'SCORE 40","'40","'40","'0","'0","'40","'40",
"'YAHTZEE 5 of a Kind","'SCORE 50","'0","'","'50","'40 I","'0","'0",
"'Chance","'Score total of all dice","'21","'25","'18","'2S","'27","'23",
"'YAHTZEE","'X FOR EACH BONUS","'","'","'X","'","'","'",
"'BONUS","'SCORE 100 PER X","'","'","'","'","'","'",
"'TOTAL Of Lower Section","'","'141","'137","'200","'142","'137","'140",
"'TOTAL Of Upper Section","'","'62","'60","'104","'54","'100","'101",
"'GRAND TOTAL","'","'203","'197","'304","'196","'237","'241",
"'","'","'","'","'","'","'","'",
,,,,,,,

'Confidence Scores % (Table Cell)
""'45.70312500","'80.90820313","'80.90820313","'80.90820313","'83.83789063","'83.83789063","'82.03125000","'82.03125000",
"'44.65332031","'89.64843750","'87.10937500","'89.74609375","'91.01562500","'90.91796875","'89.20898438","'89.99023438",
"'44.84863281","'89.99023438","'87.45117188","'90.08789063","'91.40625000","'91.30859375","'89.59960938","'90.38085938",
"'43.89648438","'88.13476563","'85.59570313","'88.18359375","'89.50195313","'89.40429688","'87.69531250","'88.47656250",
"'43.01757813","'86.37695313","'83.88671875","'86.47460938","'87.69531250","'87.59765625","'85.93750000","'86.71875000",
"'43.72558594","'87.79296875","'85.30273438","'87.89062500","'89.16015625","'89.06250000","'87.40234375","'88.13476563",
"'43.50585938","'87.35351563","'84.86328125","'87.40234375","'88.67187500","'88.57421875","'86.91406250","'87.69531250",
"'42.87109375","'86.03515625","'83.59375000","'86.13281250","'87.35351563","'87.30468750","'85.64453125","'86.37695313",
"'93.60351563","'85.69335938","'83.25195313","'85.74218750","'87.01171875","'86.91406250","'85.25390625","'86.03515625",
"'93.60351563","'74.90234375","'72.80273438","'75.00000000","'76.07421875","'76.02539063","'74.56054688","'75.24414063",
"'43.72558594","'87.79296875","'85.30273438","'87.89062500","'89.16015625","'89.06250000","'87.40234375","'88.13476563",
"'43.11523438","'86.52343750","'84.08203125","'86.62109375","'87.89062500","'87.79296875","'86.13281250","'86.91406250",
"'40.99121094","'82.27539063","'79.93164063","'82.32421875","'83.54492188","'83.44726563","'81.88476563","'82.61718750",
"'39.64843750","'39.64843750","'39.64843750","'39.64843750","'39.64843750","'39.64843750","'53.66210938","'54.15039063",
